velx,vely,velz,accx,accy,accz
-2.446462,-0.863354,-0.513692,-0.625233,-0.220644,-0.131282
-2.470927,-0.871988,-0.518829,-0.637800,-0.225079,-0.133921
-2.495636,-0.880708,-0.524017,-0.650620,-0.229603,-0.136613
-2.520592,-0.889515,-0.529257,-0.663697,-0.234218,-0.139359
-2.545798,-0.898410,-0.534550,-0.677038,-0.238926,-0.142160
-2.571256,-0.907394,-0.539895,-0.690646,-0.243728,-0.145017
-2.571256,-0.907394,-0.539895,0.690646,0.243728,0.145017
-2.545798,-0.898410,-0.534550,0.677038,0.238926,0.142160
-2.520592,-0.889515,-0.529257,0.663697,0.234218,0.139359
-2.495636,-0.880708,-0.524017,0.650620,0.229603,0.136613
-2.470927,-0.871988,-0.518829,0.637800,0.225079,0.133921
-2.446462,-0.863354,-0.513692,0.625233,0.220644,0.131282
-2.422240,-0.854806,-0.508606,0.612913,0.216297,0.128695
-2.398257,-0.846343,-0.503570,0.600837,0.212035,0.126160
-2.374512,-0.837963,-0.498584,0.588998,0.207857,0.123674
-2.351002,-0.829667,-0.493648,0.577392,0.203761,0.121237
-2.327725,-0.821452,-0.488760,0.566015,0.199746,0.118848
-2.304678,-0.813319,-0.483921,0.554862,0.195811,0.116506
-2.281859,-0.805266,-0.479129,0.543929,0.191952,0.114211
-2.259267,-0.797293,-0.474386,0.533212,0.188170,0.111960
-2.236898,-0.789399,-0.469689,0.522706,0.184462,0.109754
-2.214750,-0.781584,-0.465038,0.512406,0.180828,0.107592
-2.192822,-0.773845,-0.460434,0.502310,0.177265,0.105472
-2.160416,-0.762409,-0.453630,0.975050,0.344094,0.204734
-2.117847,-0.747387,-0.444691,0.937004,0.330668,0.196746
-2.076117,-0.732660,-0.435929,0.900442,0.317765,0.189069
-2.035210,-0.718224,-0.427340,0.865307,0.305366,0.181691
-1.995108,-0.704072,-0.418919,0.831543,0.293451,0.174602
-1.955797,-0.690199,-0.410665,0.799097,0.282001,0.167789
-1.917260,-0.676599,-0.402573,0.767916,0.270997,0.161242
-1.870270,-0.660017,-0.392707,1.095923,0.386751,0.230115
-1.815266,-0.640606,-0.381157,1.032409,0.364336,0.216778
-1.761879,-0.621766,-0.369948,0.972576,0.343221,0.204215
-1.710063,-0.603480,-0.359067,0.916211,0.323330,0.192380
-1.651676,-0.582875,-0.346808,1.139356,0.402078,0.239234
-1.587228,-0.560132,-0.333275,1.052176,0.371312,0.220929
-1.517894,-0.535664,-0.318717,1.202469,0.424350,0.252486
-1.430350,-0.504769,-0.300335,1.493687,0.527121,0.313634
-1.340551,-0.473079,-0.281480,1.125075,0.397038,0.236236
